mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__batch_size,param_model__lr,param_model__module__dropout,param_model__module__hidden_dim,param_select__k,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
35.25814595222473,0.3049981946405956,0.23692903518676758,0.04291938468710818,256,0.0026711344437355543,0.28657359976956676,128,64,"OrderedDict([('model__batch_size', 256), ('model__lr', 0.0026711344437355543), ('model__module__dropout', 0.28657359976956676), ('model__module__hidden_dim', 128), ('select__k', 64)])",0.602080143201991,0.8454772022557985,0.6914163699307525,0.9909070539280757,0.6893209742660075,0.7638403487165251,0.13797724336366832,27
30.244687938690184,1.4993395016903084,0.25907268524169924,0.02268236066486619,512,0.003821952468883263,0.160682021976835,256,80,"OrderedDict([('model__batch_size', 512), ('model__lr', 0.003821952468883263), ('model__module__dropout', 0.160682021976835), ('model__module__hidden_dim', 256), ('select__k', 80)])",0.6047279966112473,0.8274006501640032,0.6955892759152257,0.8462460762371605,0.779087146917967,0.7506102291691207,0.0896246059054143,38
33.368854427337645,3.4989902388600616,0.2099998950958252,0.04946153850431489,256,0.004146603653531867,0.12097183171054073,128,16,"OrderedDict([('model__batch_size', 256), ('model__lr', 0.004146603653531867), ('model__module__dropout', 0.12097183171054073), ('model__module__hidden_dim', 128), ('select__k', 16)])",0.6050821906220923,0.765476311328036,0.7421027058496686,0.9911326163478282,0.8409779048331909,0.7889543457961633,0.1265999743243746,10
29.474210834503175,1.2869900863135726,0.17966961860656738,0.06122454288705043,512,0.0007427481277233235,0.2196094155024256,256,48,"OrderedDict([('model__batch_size', 512), ('model__lr', 0.0007427481277233235), ('model__module__dropout', 0.2196094155024256), ('model__module__hidden_dim', 256), ('select__k', 48)])",0.6032612512948043,0.8426777732107797,0.696720837740597,0.9184962810805659,0.7391004332430924,0.760051315313968,0.11042169329049831,35
26.32545895576477,0.8645894335314943,0.14647622108459474,0.0252426947782544,512,0.0013708792117964527,0.2053240474255385,256,80,"OrderedDict([('model__batch_size', 512), ('model__lr', 0.0013708792117964527), ('model__module__dropout', 0.2053240474255385), ('model__module__hidden_dim', 256), ('select__k', 80)])",0.6023510365292417,0.8222145589781011,0.700169734729603,0.8026021786549592,0.6912238904563756,0.723712279869656,0.08033008575046469,54
24.901003122329712,0.8748698982090863,0.20304269790649415,0.0477865817555139,512,0.00434850267870397,0.13272143572771006,128,64,"OrderedDict([('model__batch_size', 512), ('model__lr', 0.00434850267870397), ('model__module__dropout', 0.13272143572771006), ('model__module__hidden_dim', 128), ('select__k', 64)])",0.6050252331543476,0.8668717404852017,0.6975516214248983,0.7830541572806066,0.6892912067135115,0.7283587918117131,0.08929047496540442,52
33.32330856323242,0.5259384390289523,0.19034762382507325,0.057462899244091564,256,0.0029808106083955626,0.17180458638428078,256,48,"OrderedDict([('model__batch_size', 256), ('model__lr', 0.0029808106083955626), ('model__module__dropout', 0.17180458638428078), ('model__module__hidden_dim', 256), ('select__k', 48)])",0.6031326801255573,0.8170995036827174,0.6907881306223855,0.989933955302629,0.88253265484001,0.7966973849146598,0.13697326544514166,9
31.62627649307251,2.286346330949528,0.26532578468322754,0.0790070689319118,256,0.004158907209132091,0.19929334071934335,256,16,"OrderedDict([('model__batch_size', 256), ('model__lr', 0.004158907209132091), ('model__module__dropout', 0.19929334071934335), ('model__module__hidden_dim', 256), ('select__k', 16)])",0.6069165903595829,0.7649152507794984,0.7000649343179932,0.7930898198435148,0.852345674280317,0.7434664539161813,0.08403186431432003,43
25.221413946151735,1.7061517578060255,0.18798465728759767,0.05511782096106322,512,0.0025095245519245572,0.274330385692643,128,32,"OrderedDict([('model__batch_size', 512), ('model__lr', 0.0025095245519245572), ('model__module__dropout', 0.274330385692643), ('model__module__hidden_dim', 128), ('select__k', 32)])",0.6024003336550059,0.8397202767408788,0.7009454133105627,0.7862036013633888,0.880655501138336,0.7619850252416345,0.09990505354391317,30
49.84978275299072,5.834556513880434,0.41002659797668456,0.12080987900553257,128,0.003287002421332474,0.24825654887360546,128,48,"OrderedDict([('model__batch_size', 128), ('model__lr', 0.003287002421332474), ('model__module__dropout', 0.24825654887360546), ('model__module__hidden_dim', 128), ('select__k', 48)])",0.6007445818196853,0.8291858429846971,0.6908368094793159,0.990672724096389,0.7081160544633006,0.7639112025686776,0.13472778327511245,26
